ID,Subject,Topic,Subtopic,Question,Option A,Option B,Option C,Option D,Correct Letter,Explanation,Active
303,RE,Number,,"After a 20% increase, a price is £120. What was the original price?",80,90,100,110,C,2,Yes
304,RE,Geometry,,What is the area of a triangle with base 10 cm and height 6 cm?,30 cm²,60 cm²,16 cm²,40 cm²,A,0,Yes
305,RE,Geometry,,What is the area of a triangle with base 8 cm and height 5 cm?,20 cm²,40 cm²,13 cm²,30 cm²,A,0,Yes
306,RE,Geometry,,A circle has radius 4 cm. What is its area?,8π cm²,16π cm²,4π cm²,32π cm²,B,1,Yes
307,RE,Number,,Round 0.0456 to 2 significant figures,0.046,0.045,0.05,0.04,A,0,Yes
308,RE,Number,,Round 1234 to 2 significant figures,1200,1230,1240,1000,A,0,Yes
309,RE,Number,,Round 7.856 to 2 decimal places,7.85,7.86,7.8,7.9,B,1,Yes
310,RE,Number,,Round 0.0785 to 2 significant figures,0.078,0.079,0.08,0.07,B,1,Yes
311,RE,Number,,Round 0.0996 to 2 significant figures,0.099,0.1,0.09,0.1,B,1,Yes
312,RE,Number,,Round 0.999 to 2 significant figures,0.99,1,1,0.9,B,1,Yes
313,RE,Number,,Round 4.999 to 2 decimal places,4.99,5,4.9,5.01,B,1,Yes
314,RE,Number,,Round 2.995 to 2 decimal places,2.99,3,2.9,3.01,B,1,Yes
315,RE,Number,,Round 0.00996 to 2 significant figures,0.0099,0.01,0.009,0.01,B,1,Yes
316,RE,Number,,Round 9.999 to 2 significant figures,9.9,10,10,9,B,1,Yes
317,RE,Number,,Round 199 to 2 significant figures,190,200,210,199,B,1,Yes
318,RE,Number,,Round 0.00456 to 2 significant figures,0.0045,0.0046,0.005,0.004,B,1,Yes
319,RE,Number,,Round 6.995 to 2 decimal places,6.99,7,6.9,7.01,B,1,Yes
320,RE,Number,,Round 0.07895 to 2 significant figures,0.078,0.079,0.08,0.07,B,1,Yes
